,Unnamed: 0,Hardness,Al,Co,Cr,Cu,Fe,Ni,result_39
37,37,655.0,0.359,0.128,0.128,0.128,0.128,0.128,6.107808982
38,38,157.0,0.0,0.167,0.167,0.167,0.333,0.167,1.011336892
39,39,450.0,0.118,0.0,0.294,0.0,0.441,0.147,4.711062
40,40,200.0,0.074,0.0,0.185,0.185,0.185,0.37,1.813212441
41,41,310.0,0.154,0.154,0.154,0.077,0.154,0.308,2.914189392
42,42,625.0,0.333,0.133,0.133,0.133,0.133,0.133,5.884642776
43,43,555.0,0.213,0.213,0.213,0.0,0.213,0.15,5.665936181
44,44,546.0,0.2,0.2,0.1,0.1,0.2,0.2,4.432064584
45,45,170.0,0.0,0.225,0.225,0.225,0.225,0.1,1.140458313
46,46,516.0,0.2,0.2,0.2,0.0,0.2,0.2,4.968216138
47,47,764.0,0.43,0.06,0.33,0.06,0.06,0.06,7.6974994
48,48,153.0,0.0,0.238,0.05,0.238,0.238,0.238,0.98395319
49,49,338.0,0.149,0.213,0.213,0.0,0.213,0.213,3.635878002
50,50,131.0,0.086,0.229,0.229,0.0,0.229,0.229,2.268812893
51,51,740.0,0.429,0.143,0.143,0.0,0.143,0.143,8.171256298
52,52,472.0,0.1,0.0,0.35,0.25,0.05,0.25,3.909722732
53,53,172.0,0.0,0.222222222,0.222222222,0.111111111,0.222222222,0.222222222,1.347815834
54,54,170.0,0.057,0.0,0.189,0.189,0.189,0.377,1.633775668
55,55,545.0,0.222,0.111,0.0,0.222,0.222,0.222,4.170217144
56,56,415.0,0.2,0.2,0.2,0.2,0.0,0.2,4.869374295
57,57,475.0,0.206,0.159,0.159,0.159,0.159,0.159,4.87504682
58,58,242.0,0.143,0.143,0.143,0.0,0.143,0.429,2.214257276
59,59,451.0,0.167,0.25,0.167,0.083,0.167,0.167,4.132814839
60,60,475.0,0.05,0.317,0.317,0.0,0.317,0.0,5.174845313
61,61,370.0,0.185,0.0,0.185,0.185,0.185,0.259,4.647125789
62,62,702.0,0.462,0.154,0.077,0.077,0.154,0.077,7.504208081
63,63,168.0,0.053,0.211,0.211,0.0,0.263,0.263,1.738023476
64,64,166.0,0.143,0.429,0.0,0.143,0.143,0.143,2.996431103
65,65,459.0,0.13,0.0,0.28,0.22,0.06,0.31,4.197671862
66,66,546.0,0.231,0.0,0.154,0.154,0.154,0.308,5.044974357
67,67,558.0,0.265,0.147,0.147,0.147,0.147,0.147,5.390498841
68,68,593.0,0.333,0.0,0.133,0.133,0.133,0.267,6.200866148
69,69,125.0,0.0,0.2,0.2,0.0,0.2,0.4,1.550692721
70,70,695.0,0.2,0.267,0.267,0.0,0.267,0.0,6.256145279
71,71,473.0,0.182,0.091,0.182,0.182,0.182,0.182,4.655483906
72,72,278.0,0.107,0.0,0.179,0.179,0.179,0.357,2.337095647
73,73,155.0,0.0,0.2,0.2,0.2,0.2,0.2,1.11719656
74,74,161.0,0.0,0.213,0.15,0.213,0.213,0.213,0.995830069
75,75,495.0,0.11,0.0,0.29,0.29,0.05,0.26,4.080818623
76,76,430.0,0.25,0.25,0.0,0.0,0.25,0.25,4.507164521
77,77,573.0,0.273,0.0,0.182,0.182,0.182,0.182,5.363039585
78,78,587.0,0.225,0.225,0.225,0.0,0.1,0.225,5.575290184
79,79,544.0,0.265,0.0,0.147,0.147,0.147,0.294,5.525913291
80,80,146.0,0.0,0.05,0.238,0.238,0.238,0.238,1.365853704
81,81,476.0,0.225,0.225,0.1,0.0,0.225,0.225,4.680805907
82,82,185.0,0.057,0.189,0.189,0.189,0.189,0.189,1.6156292
83,83,225.0,0.125,0.125,0.125,0.0,0.125,0.5,1.961135394
84,84,407.0,0.2,0.2,0.2,0.2,0.2,0.0,3.985769604
85,85,154.0,0.0,0.25,0.0,0.25,0.25,0.25,0.988718417
86,86,158.0,0.0,0.15,0.213,0.213,0.213,0.213,1.186517358
87,87,335.0,0.167,0.167,0.167,0.0,0.167,0.333,3.005417471
88,88,170.0,0.0,0.283,0.283,0.0,0.283,0.15,1.920588867
89,89,665.0,0.238,0.238,0.238,0.0,0.05,0.238,5.873714475
90,90,558.0,0.213,0.213,0.213,0.0,0.15,0.213,5.285617516
91,91,655.0,0.15,0.283,0.283,0.0,0.283,0.0,5.868991073
92,92,238.0,0.091,0.0,0.182,0.182,0.182,0.364,2.053760979
93,93,339.0,0.153,0.0,0.169,0.169,0.169,0.339,3.365772516
94,94,567.0,0.286,0.0,0.143,0.143,0.143,0.286,5.762053697
95,95,811.0,0.46,0.14,0.23,0.05,0.07,0.05,8.680578698
96,96,790.0,0.44,0.14,0.22,0.05,0.09,0.06,8.413009232
97,97,855.0,0.43,0.19,0.24,0.0,0.08,0.06,8.749397639
98,98,856.0,0.43,0.18,0.24,0.0,0.1,0.05,8.739430052
99,99,859.0,0.47,0.14,0.2,0.05,0.09,0.05,8.695957928
100,100,875.0,0.43,0.24,0.22,0.0,0.05,0.06,8.698433833
101,101,868.0,0.43,0.24,0.23,0.0,0.05,0.05,8.723343717
102,102,843.0,0.47,0.12,0.2,0.05,0.11,0.05,8.695794873
103,103,794.0,0.43,0.15,0.17,0.05,0.14,0.06,7.922353291
104,104,783.0,0.42,0.1,0.3,0.05,0.07,0.06,7.962917964
105,105,797.0,0.47,0.11,0.22,0.05,0.1,0.05,8.787124511
106,106,805.0,0.47,0.13,0.2,0.05,0.1,0.05,8.695875213
107,107,699.0,0.29,0.22,0.34,0.0,0.05,0.1,6.857383754
108,108,749.0,0.47,0.07,0.16,0.09,0.16,0.05,7.898326633
109,109,828.0,0.43,0.14,0.21,0.05,0.12,0.05,8.224019764
110,110,849.0,0.47,0.18,0.15,0.05,0.1,0.05,8.291703031
111,111,883.0,0.47,0.2,0.18,0.05,0.05,0.05,8.550752615
112,112,864.0,0.43,0.18,0.2,0.0,0.12,0.07,8.590652749
113,113,841.0,0.47,0.17,0.16,0.05,0.1,0.05,8.378347239
114,114,882.0,0.43,0.22,0.22,0.0,0.08,0.05,8.688493668
115,115,883.0,0.43,0.22,0.23,0.0,0.07,0.05,8.723350348
116,116,828.0,0.43,0.2,0.21,0.0,0.09,0.07,8.656612195
117,117,848.0,0.43,0.22,0.25,0.0,0.05,0.05,8.735828077
118,118,878.0,0.47,0.19,0.19,0.05,0.05,0.05,8.62869562
119,119,782.0,0.43,0.29,0.18,0.0,0.05,0.05,8.409861873
120,120,865.0,0.43,0.25,0.22,0.0,0.05,0.05,8.688482986
121,121,851.5,0.445,0.22,0.195,0.025,0.065,0.05,8.554823614
122,122,117.0,0.07,0.233,0.233,0.0,0.233,0.233,2.073768714
123,123,228.0,0.13,0.217,0.217,0.0,0.217,0.217,3.138888577
124,124,135.3,0.025,0.25,0.225,0.0,0.25,0.25,1.647494324
125,125,147.2,0.05,0.25,0.2,0.0,0.25,0.25,1.635684797
126,126,175.3,0.075,0.25,0.175,0.0,0.25,0.25,1.732261602
127,127,190.4,0.1,0.25,0.15,0.0,0.25,0.25,1.951394217
128,128,210.6,0.125,0.25,0.125,0.0,0.25,0.25,2.288082692
129,129,250.3,0.15,0.25,0.1,0.0,0.25,0.25,2.718359191
130,130,314.1,0.175,0.25,0.075,0.0,0.25,0.25,3.204863841
131,131,386.5,0.2,0.25,0.05,0.0,0.25,0.25,3.706644074
132,132,486.3,0.225,0.25,0.025,0.0,0.25,0.25,4.184723672
133,133,418.0,0.182,0.182,0.182,0.182,0.091,0.182,4.546179988
134,134,245.8,0.13,0.217,0.217,0.217,0.217,0.217,3.423484162
135,135,694.0,0.429,0.071,0.143,0.071,0.143,0.143,7.582673212
136,136,110.0,0.059,0.235,0.235,0.0,0.235,0.235,1.967682643
137,137,169.0,0.048,0.238,0.238,0.238,0.238,0.238,1.784761005
138,138,768.0,0.4,0.133,0.067,0.133,0.2,0.067,6.086776999
139,139,639.0,0.222,0.222,0.222,0.111,0.222,0.0,5.339484605
140,140,644.0,0.428571429,0.142857143,0.142857143,0.142857143,0.142857143,0.0,6.423354483
141,141,617.0,0.167,0.167,0.333,0.0,0.167,0.167,5.232008746
142,142,644.0,0.429,0.143,0.143,0.143,0.143,0.0,6.427130477
143,143,150.0,0.0,0.1,0.225,0.225,0.225,0.225,1.265458313
144,144,109.0,0.0,0.143,0.143,0.0,0.571,0.143,1.163178251
145,145,799.0,0.47,0.13,0.13,0.05,0.12,0.1,8.190522572
146,146,699.0,0.34,0.17,0.34,0.0,0.05,0.1,7.295593453
147,147,604.0,0.38,0.11,0.06,0.09,0.31,0.05,6.388139306
148,148,537.0,0.167,0.167,0.167,0.083,0.25,0.167,4.289057707
149,149,341.09,0.143,0.19,0.19,0.095,0.19,0.19,3.63278382
150,150,637.2,0.238,0.238,0.238,0.0,0.048,0.238,5.873714475
151,151,603.0,0.365,0.159,0.159,0.159,0.159,0.0,5.627571074
152,152,207.0,0.111111111,0.222222222,0.222222222,0.222222222,0.222222222,0.0,3.313942902
